,Variance
dms-900-14,69.59551111111111,
ba-900-15,23.415511111111112,
dms-900-15,67.80884444444445,
ba-900-16,29.057733333333335,
dms-900-16,80.43106666666667,
ba-900-17,27.139955555555556,
dms-900-17,60.97995555555555,
ba-900-18,21.357733333333332,
dms-900-18,106.88217777777777,
ba-900-19,23.388844444444448,
dms-900-19,70.59551111111111,
ba-900-20,25.075511111111116,
dms-900-20,69.45551111111111,
ba-900-21,21.59328888888889,
dms-900-21,64.24662222222223,
ba-900-22,23.615511111111108,
dms-900-22,84.69551111111112,
ba-900-23,25.873288888888883,
dms-900-23,67.46217777777778,
ba-900-24,34.46884444444444,
dms-900-24,76.49773333333333,
ba-900-25,34.00662222222222,
dms-900-25,66.77551111111111,
ba-900-26,24.21106666666667,
dms-900-26,72.53773333333332,
ba-900-27,24.984399999999997,
dms-900-27,61.47106666666667,
ba-900-28,25.686622222222223,
dms-900-28,75.89328888888889,
ba-900-29,26.195511111111113,
dms-900-29,65.30884444444445,
ba-900-30,23.688844444444445,
dms-900-30,75.80217777777777,
ba-900-31,32.33995555555556,
dms-900-31,63.90217777777778,
ba-900-32,24.015511111111113,
dms-900-32,62.68440000000001,
ba-900-33,25.70217777777778,
dms-900-33,72.27106666666667,
ba-900-34,21.79773333333333,
dms-900-34,71.57106666666667,
ba-900-35,25.679955555555555,
dms-900-35,84.45106666666668,
ba-900-36,22.76884444444445,
dms-900-36,62.57106666666667,
ba-900-37,26.788844444444447,
dms-900-37,56.83773333333333,
ba-900-38,32.19328888888889,
dms-900-38,66.00884444444443,
ba-900-39,25.931066666666663,
dms-900-39,59.45773333333334,
ba-1000-0,23.595964000000002,
dms-1000-0,78.069964,
ba-1000-1,28.745964,
dms-1000-1,68.359964,
ba-1000-2,26.261964,
dms-1000-2,83.577964,
ba-1000-3,28.347963999999997,
dms-1000-3,71.577964,
ba-1000-4,28.111963999999993,
dms-1000-4,67.367964,
ba-1000-5,32.253963999999996,
dms-1000-5,72.569964,
ba-1000-6,25.39196400000001,
dms-1000-6,82.857964,
ba-1000-7,25.881963999999996,
dms-1000-7,88.047964,
ba-1000-8,33.637964000000004,
dms-1000-8,71.529964,
ba-1000-9,25.089964000000002,
dms-1000-9,65.91396399999999,
ba-1000-10,26.991964000000003,
dms-1000-10,88.39596399999998,
ba-1000-11,29.401964,
dms-1000-11,70.02196399999998,
ba-1000-12,23.095964000000002,
dms-1000-12,67.715964,
ba-1000-13,40.73396399999999,
dms-1000-13,71.971964,
ba-1000-14,27.557964000000005,
dms-1000-14,68.43396399999999,
ba-1000-15,30.497964000000003,
dms-1000-15,77.881964,
ba-1000-16,26.911964000000005,
dms-1000-16,83.941964,
ba-1000-17,24.791964,
dms-1000-17,66.085964,
ba-1000-18,34.901964,
dms-1000-18,73.101964,
ba-1000-19,24.507964,
dms-1000-19,80.863964,
ba-1000-20,23.317963999999996,
dms-1000-20,60.395964,
ba-1000-21,31.433963999999996,
dms-1000-21,63.581964000000006,
ba-1000-22,29.513964,
dms-1000-22,78.161964,
ba-1000-23,27.623963999999994,
dms-1000-23,72.861964,
ba-1000-24,21.167964000000005,
dms-1000-24,83.427964,
ba-1000-25,23.027964000000004,
dms-1000-25,91.669964,
ba-1000-26,29.071964,
dms-1000-26,77.803964,
ba-1000-27,25.899963999999997,
dms-1000-27,81.605964,
ba-1000-28,25.835964000000004,
dms-1000-28,79.51796399999999,
ba-1000-29,22.997964000000003,
dms-1000-29,74.893964,
ba-1000-30,27.907964,
dms-1000-30,72.56396399999998,
ba-1000-31,26.093964,
dms-1000-31,72.041964,
ba-1000-32,24.141963999999994,
dms-1000-32,71.83196399999999,
ba-1000-33,24.363964000000003,
dms-1000-33,79.437964,
ba-1000-34,39.17196400000001,
dms-1000-34,77.761964,
ba-1000-35,25.729964000000002,
dms-1000-35,64.649964,
ba-1000-36,35.535964,
dms-1000-36,72.923964,
ba-1000-37,29.347963999999997,
dms-1000-37,69.477964,
ba-1000-38,29.563964,
dms-1000-38,68.907964,
ba-1000-39,23.301963999999998,
dms-1000-39,82.809964,
ba-2000-0,25.565991000000004,
dms-2000-0,106.66199099999999,
ba-2000-1,29.206991000000002,
dms-2000-1,108.061991,
ba-2000-2,27.461991000000005,
dms-2000-2,102.89099099999999,
ba-2000-3,27.633991,
dms-2000-3,90.21099099999999,
ba-2000-4,28.396991,
dms-2000-4,108.322991,
ba-2000-5,34.989991,
dms-2000-5,102.14399099999999,
ba-2000-6,30.735991000000006,
dms-2000-6,97.42999099999999,
ba-2000-7,28.330991000000004,
dms-2000-7,94.487991,
ba-2000-8,29.420991000000008,
dms-2000-8,87.118991,
ba-2000-9,35.92999100000001,
dms-2000-9,97.02699100000001,
ba-2000-10,27.627991,
dms-2000-10,90.693991,
ba-2000-11,30.642991000000002,
dms-2000-11,98.524991,
ba-2000-12,28.845990999999998,
dms-2000-12,95.74299099999999,
ba-2000-13,30.176991,
dms-2000-13,89.05299099999999,
ba-2000-14,30.335991,
dms-2000-14,89.589991,
ba-2000-15,34.725991,
dms-2000-15,91.233991,
ba-2000-16,34.53099100000001,
dms-2000-16,91.901991,
ba-2000-17,27.523991000000002,
dms-2000-17,83.78799099999999,
ba-2000-18,31.696991000000004,
dms-2000-18,102.460991,
ba-2000-19,31.15199100000001,
dms-2000-19,98.83599099999999,
ba-2000-20,28.48399100000001,
dms-2000-20,100.17099099999999,
ba-2000-21,31.150991000000005,
dms-2000-21,93.557991,
ba-2000-22,31.724991000000003,
dms-2000-22,95.809991,
ba-2000-23,34.55199100000001,
dms-2000-23,102.751991,
ba-2000-24,30.174991,
dms-2000-24,81.979991,
ba-2000-25,31.878991,
dms-2000-25,104.158991,
ba-2000-26,35.339991000000005,
dms-2000-26,87.325991,
ba-2000-27,28.265991000000007,
dms-2000-27,98.188991,
ba-2000-28,32.63499100000001,
dms-2000-28,106.887991,
ba-2000-29,27.878991000000006,
dms-2000-29,99.363991,
ba-2000-30,29.115991,
dms-2000-30,93.49899099999999,
ba-2000-31,29.345991000000005,
dms-2000-31,91.04299099999999,
ba-2000-32,35.738991,
dms-2000-32,101.60399100000001,
ba-2000-33,31.037991000000005,
dms-2000-33,104.97899100000001,
ba-2000-34,27.705991000000004,
dms-2000-34,88.031991,
ba-2000-35,32.818991000000004,
dms-2000-35,96.511991,
ba-2000-36,29.565991000000004,
dms-2000-36,92.386991,
ba-2000-37,26.176991,
dms-2000-37,89.64199099999999,
ba-2000-38,37.050991,
dms-2000-38,101.685991,
ba-2000-39,35.579991,
dms-2000-39,93.551991,
ba-3000-0,36.619329333333326,
dms-3000-0,124.05932933333332,
ba-3000-1,29.297995999999994,
dms-3000-1,111.89466266666668,
ba-3000-2,28.668662666666666,
dms-3000-2,102.29266266666666,
ba-3000-3,30.31666266666667,
dms-3000-3,111.14866266666667,
